course	order	source_id	chapter	title_en	canonical_path	source_sha256	indonesian_path	bridge_lane	telugu_status
A20	1	m81357	Front/back matter	Preface	downloads/upstream-prealgebra/modules/m81357/index.cnxml	f4d01bced59370e726f637a3d5b846ad77aa3536dba5a838cb00ceeadebd3033	downloads/releases/A20/extracted/source/modules/m81357/index.cnxml	A20-later-extension	not_started
A20	2	m81358	Foundations	Introduction	downloads/upstream-prealgebra/modules/m81358/index.cnxml	8208d78ec06d4f2cfa13ff66f8fe146fd1ee0d6dc28a69b1bc1af6946af9980a	downloads/releases/A20/extracted/source/modules/m81358/index.cnxml	A20-later-extension	not_started
A20	3	m81422	Foundations	Use the Language of Algebra	downloads/upstream-prealgebra/modules/m81422/index.cnxml	16beaa33746959c3561c4b6c6f3390f736f4cf2f9da837c1777ef2b3a53c6bed	downloads/releases/A20/extracted/source/modules/m81422/index.cnxml	A20-later-extension	not_started
A20	4	m81423	Foundations	Integers	downloads/upstream-prealgebra/modules/m81423/index.cnxml	bc82f81bbf9f751fac83ff1acce7464fbacad342bbaf642649509a62ffec8428	downloads/releases/A20/extracted/source/modules/m81423/index.cnxml	A20-later-extension	not_started
A20	5	m81359	Foundations	Fractions	downloads/upstream-prealgebra/modules/m81359/index.cnxml	831bdd425329267fff47a70781e04810edc9dcf0ee86af93c490c1ac56d72d4c	downloads/releases/A20/extracted/source/modules/m81359/index.cnxml	A20-later-extension	not_started
A20	6	m81425	Foundations	Decimals	downloads/upstream-prealgebra/modules/m81425/index.cnxml	342336ae6607762b8b6e6fd1e3b237a7a5822adb56f0d6eb44880f83000d7f5e	downloads/releases/A20/extracted/source/modules/m81425/index.cnxml	A20-later-extension	not_started
A20	7	m81360	Foundations	Properties of Real Numbers	downloads/upstream-prealgebra/modules/m81360/index.cnxml	ea9f3c14e64dc0a699395d89f67cb3bc547315bd4905266b8009d95f103410af	downloads/releases/A20/extracted/source/modules/m81360/index.cnxml	A20-later-extension	not_started
A20	8	m81361	Solving Linear Equations	Introduction	downloads/upstream-prealgebra/modules/m81361/index.cnxml	2e58494bea7f36ccd69576e634cabbe2aae5a45e15642c94f3e62d6b606a085b	downloads/releases/A20/extracted/source/modules/m81361/index.cnxml	A20-later-extension	not_started
A20	9	m81362	Solving Linear Equations	Use a General Strategy to Solve Linear Equations	downloads/upstream-prealgebra/modules/m81362/index.cnxml	abc17b3a0f105b23e0bd8434b48778ef07c2d4a3754c2c43acc21ee0bb4a67cd	downloads/releases/A20/extracted/source/modules/m81362/index.cnxml	A20-later-extension	not_started
A20	10	m81363	Solving Linear Equations	Use a Problem Solving Strategy	downloads/upstream-prealgebra/modules/m81363/index.cnxml	e707a91825b2bc09e0f72037dd75e0993d8d9e620db7c2ebd9ee0f0925e83c55	downloads/releases/A20/extracted/source/modules/m81363/index.cnxml	A20-later-extension	not_started
