canon_id,package_id,branch_id,intercept_fecu,slope_fecu_per_r,calibration_rows,max_absolute_reconstruction_error_fecu,process_scenario,coefficient_row_sha256
CANON-025K,PKG-ACCESSIBLE-PUBLICATION,accessible_publication,215084.91372962762,118249.999999989,203,4.605390131473541e-07,FROZEN_STANDARD_COMPUTE_BASE_SCENARIO,18d84f894a941b5013764bb344fdc9dc86ad55dd9b450a12232aec32a3227a19
CANON-025K,PKG-AUDIO,audio,197147.4137299999,191999.99999999997,203,4.656612873077393e-10,FROZEN_STANDARD_COMPUTE_BASE_SCENARIO,452ffe7cfe83b72ff9abf291ce16ad74adc7a89775bae322a45cd196fdcf656d
CANON-025K,PKG-CAPTIONS,captions,189647.4137296277,193249.99999998906,203,4.600733518600464e-07,FROZEN_STANDARD_COMPUTE_BASE_SCENARIO,14e7a85035ea9086dd8044018831c35d6cad9fc91b72b02760b82e76765a7536
CANON-025K,PKG-COMPLETE-ACCESS,complete_access,222584.91372999983,367000.00000000006,203,9.313225746154785e-10,FROZEN_STANDARD_COMPUTE_BASE_SCENARIO,b12e6351f9b58874e8f1ba0b28d964ebe37089048642899f4ee7189fb98b783b
CANON-025K,PKG-NAMED-SIGN,named_sign,189647.41372962776,218249.99999998903,203,4.6030618250370026e-07,FROZEN_STANDARD_COMPUTE_BASE_SCENARIO,02138d66e70390731d137ec419c0dc6f578e0181263e06d22c856953a6baf848
CANON-025K,PKG-TEXT,text,189647.4137296276,118249.99999998904,203,4.6030618250370026e-07,FROZEN_STANDARD_COMPUTE_BASE_SCENARIO,f6ad4ae4a4820f046e96463a5d6e605d4f8c01e7d1d5a4bbee0e5e2cbdae20de
CANON-100K,PKG-ACCESSIBLE-PUBLICATION,accessible_publication,860339.6549190001,473000.00000000006,203,1.862645149230957e-09,FROZEN_STANDARD_COMPUTE_BASE_SCENARIO,0af7ec6f02103017a3fe4784cf4405dc0c3df36b8f73cd729cb1f4c3d08f9d46
CANON-100K,PKG-AUDIO,audio,788589.6549190001,768000.0000000001,203,1.862645149230957e-09,FROZEN_STANDARD_COMPUTE_BASE_SCENARIO,89aa642f219df5963cf5882eac6d20d21298d4e7ab7e9c99513b6b2cb13e9652
CANON-100K,PKG-CAPTIONS,captions,758589.6549189994,773000.0000000001,203,3.725290298461914e-09,FROZEN_STANDARD_COMPUTE_BASE_SCENARIO,6e8e87b5251e50c6f89315fb06617db4f74cb11d4b8ba12eb61065e5373528e9
CANON-100K,PKG-COMPLETE-ACCESS,complete_access,890339.6549189993,1468000.0000000002,203,3.725290298461914e-09,FROZEN_STANDARD_COMPUTE_BASE_SCENARIO,c8c54a9852b76f8adc3bc77ee55513cc8a19c9b56b258487c03a0f24485dd96d
CANON-100K,PKG-NAMED-SIGN,named_sign,758589.6549189996,873000.0000000001,203,3.725290298461914e-09,FROZEN_STANDARD_COMPUTE_BASE_SCENARIO,562777c1d10d737a18d0d5305477eaad480340235a674ad088100dffc6738fb3
CANON-100K,PKG-TEXT,text,758589.6549190001,473000.0,203,9.313225746154785e-10,FROZEN_STANDARD_COMPUTE_BASE_SCENARIO,bc0f878d708a6de1ae2e684354457abdd1d825ff4b8ecad02980e79b9d766b9d
CANON-400K,PKG-ACCESSIBLE-PUBLICATION,accessible_publication,3441358.619675,1892000.0,203,3.725290298461914e-09,FROZEN_STANDARD_COMPUTE_BASE_SCENARIO,4d88d5fb3c920f05b86f7df1fbc511924f6fa6d7328c7bbbce7fac72be892cb2
CANON-400K,PKG-AUDIO,audio,3154358.6196749997,3071999.9999999995,203,7.450580596923828e-09,FROZEN_STANDARD_COMPUTE_BASE_SCENARIO,56fa7e13871d61b02eb1a2f8a6b02d5223bae63654bb86d355fe94d084b8397f
CANON-400K,PKG-CAPTIONS,captions,3034358.619674999,3092000.000000001,203,1.4901161193847656e-08,FROZEN_STANDARD_COMPUTE_BASE_SCENARIO,0dde43e77ada404e5bdce0001c5facafeb2ab8966d79dcd3ef84e972e02354b3
CANON-400K,PKG-COMPLETE-ACCESS,complete_access,3561358.619675,5872000.000000001,203,1.4901161193847656e-08,FROZEN_STANDARD_COMPUTE_BASE_SCENARIO,b6641fb19f797ac304890189242fc272b3a580abf50a4b7943259857b46b4787
CANON-400K,PKG-NAMED-SIGN,named_sign,3034358.6196749997,3492000.0,203,7.450580596923828e-09,FROZEN_STANDARD_COMPUTE_BASE_SCENARIO,6b489524c4447250233174f3f88287dd00d349948531e36fc48d6f2c0d6f9b61
CANON-400K,PKG-TEXT,text,3034358.6196749997,1892000.0,203,3.725290298461914e-09,FROZEN_STANDARD_COMPUTE_BASE_SCENARIO,785c2f9b5c5e4e8a5c4f24068a22f2071d0c5971daad7df0b9cd5d7f0720fa79
