edition_target_id,label,language_tag,population_low,population_high,intrinsic_need_low,intrinsic_need_high,possible_rank_best,possible_rank_worst,top10_status,top100_status,population_basis_class,order_lane,model_status,authorization_id,authorization_ids,authorization_status,authorization_tier,evidence_identity_id,source_lane,source_record_id,evidence_role,target_row_sha256,evidence_row_sha256,source_evidence_row_sha256,source_registry_row_hashes,evidence_bounds_source_complete,evidence_bounds_were_imputed,population_bound_type,source_population_low_persons,source_population_base_persons,source_population_high_persons,normalized_population_low_persons,normalized_population_high_persons,local_work_exclusion,synthetic_or_model_prior
edition-target:lang:am-Ethi-ET,Amharic,am-Ethi-ET,21634396.000000,21634396.000000,4024351.845926,17870365.285926,1,50,POSSIBLE,DEFINITE,DIRECT_OR_DERIVED_PERSON_MEASURE,person_need,L-ID_PARTIAL_IDENTIFICATION_ENVELOPE,auth:regional:AFRICA_EMPIRICAL_NEED_INPUTS:am-Ethi-ET,auth:regional:AFRICA_EMPIRICAL_NEED_INPUTS:am-Ethi-ET,ADMIT,A_REGIONAL_EXACT_TYPED_PERSON,regional:AFRICA_EMPIRICAL_NEED_INPUTS:am-Ethi-ET,AFRICA_EMPIRICAL_NEED_INPUTS,am-Ethi-ET,REGIONAL_EMPIRICAL_STRATUM,8a14dcc29a2479c14b9f8237c46fe3366071f41150e683883076be5d596700e7,3432a5c58b174afe83c48de7241bf0878e22305915795f245d2b9b4492196099,e1a2cb7e7b50351ab5f6f918a58552ab49862022f568f30b2e44f14676bb3549,fce6afecd896e8cf08d2cff807dd900a46d27bdb0eacc06b1cedb1ae1c09c46a;fc45a53902b1372dbf4db1196e8284205586e09a1dc0437dc0ccf6a3018763e8;9d96f04b2f0c30df9305b8ab607d11d34d25767cd9378948818ca8340ff09fba;6dc0c8d6289e5cad740dffaef05ea881ea64b5d2f9e1d471714a817dbe28b7d4;9c33353549fc27a2ca2324fce4a756d339919d730256dd89c7f5b4e7448cf9f0;a4cece4af9a4faeed12675aea814c27c361ae700e854fbb0b716f58b6b5542d6;ce9ed3e99ff8beae8c3ba2cd7069cd3b48397588bf3c0dc755bc3c53b0a943ef;f08a8440b3bcbcc5182faa1cd33b606ff6fe4f68195e2e63badddb3f2b1fd8a4;1116171463655f3000daa67696b5fdad231077d53124aeec2023087d759613f3;1f5f1cfe3b410860ae46e0ad9ba9d5494397fa456f69b516caeeffcde0c4392e,true,false,POINT,,21634396,,21634396,21634396,true,false
edition-target:lang:ary-Arab-MA,Moroccan Arabic,ary-Arab-MA,33000000.000000,35000000.000000,3630000.000000,26250000.000000,1,52,POSSIBLE,DEFINITE,DIRECT_OR_DERIVED_PERSON_MEASURE,person_need,L-ID_PARTIAL_IDENTIFICATION_ENVELOPE,auth:canonical:canonical:pop:986f139dd9ee10ddd7948966,auth:canonical:canonical:pop:986f139dd9ee10ddd7948966,ADMIT,B_INTERVAL_TYPED_PERSON,canonical:pop:986f139dd9ee10ddd7948966,legacy_canonical_population,pop:986f139dd9ee10ddd7948966,language_population_or_context,92da4fed150bd3b5089792dde22ce0dfdd0a6cab2b6596cc422df01ecf479c6d,6753dd9901be040903ac8c29012c6725f034d4acef47d2c8762b1e758e6b6fdb,1a0fdea10e84d0dd6f36e6c39ffd56e3cec28328a90fe629b6fd4fe41ccbbe2a,AF993F5A5E69945C21D1086951E9CA0CD12CBD9ACE9D9973FC35CF944B3167C5,true,false,INTERVAL,33000000,34000000,35000000,33000000,35000000,true,false
edition-target:lang:bho-Deva-IN,Bhojpuri,bho-Deva-IN,50579447.000000,50579447.000000,2529765.134369,34900611.214369,1,57,POSSIBLE,DEFINITE,DIRECT_OR_DERIVED_PERSON_MEASURE,person_need,L-ID_PARTIAL_IDENTIFICATION_ENVELOPE,auth:canonical:canonical:pop:18db243036b830db09e6124f,auth:canonical:canonical:pop:18db243036b830db09e6124f,ADMIT,A_DIRECT_TYPED_PERSON,canonical:pop:18db243036b830db09e6124f,legacy_canonical_population,pop:18db243036b830db09e6124f,language_population_or_context,7cc51976be4be76b7b52afff4bf2262dbd7cab856c14ef6b2429f50ea9c0bada,93520296bdd610bfb1a8d220ae72ce11cf57e66ea09bd45a2eb37b951c20d27c,d005f22e002d3fba372edccc443e38e2d3f9b004d9599a021015d1c5885126e2,EC2BDF734B61061AABB368111F19C6FD09AB026FE6C42FB466BEF1DA45D722C6,true,false,POINT,50579447,50579447,50579447,50579447,50579447,true,false
edition-target:lang:bn-Beng-IN,Bengali (India standard),bn-Beng-IN,96177835.000000,96177835.000000,4810399.245410,66364213.645410,1,48,POSSIBLE,DEFINITE,DIRECT_OR_DERIVED_PERSON_MEASURE,person_need,L-ID_PARTIAL_IDENTIFICATION_ENVELOPE,auth:canonical:canonical:pop:1b0fedae1f0166ba231953b3,auth:canonical:canonical:pop:1b0fedae1f0166ba231953b3;auth:canonical:llps:LLPS-BN-IN-L1-2011,ADMIT,A_DIRECT_TYPED_PERSON,canonical:pop:1b0fedae1f0166ba231953b3,legacy_canonical_population,pop:1b0fedae1f0166ba231953b3,language_population_or_context,213c1bb51aed2a6d923aeb3e2fac2cf48bb13fadac578e9afc12cfc1a75dac79,d36753087b8e12ab3883e8a5239d258171c58592c4b2db3f39904419d1aa0600,c76fe86b5ce1c032ecc0ff579e881270e6f6d2ba5b9d1967c9ff6cac22de2c80,EC2BDF734B61061AABB368111F19C6FD09AB026FE6C42FB466BEF1DA45D722C6,true,false,POINT,96177835,96177835,96177835,96177835,96177835,true,false
edition-target:lang:es-Latn-US,Spanish,es-Latn-US,43369734.000000,43369734.000000,0.000000,27029608.014506,1,204,POSSIBLE,POSSIBLE,DIRECT_OR_DERIVED_PERSON_MEASURE,person_need,L-ID_PARTIAL_IDENTIFICATION_ENVELOPE,auth:canonical:canonical:pop:dcc30527548d032f43f70bb3,auth:canonical:canonical:pop:dcc30527548d032f43f70bb3;auth:canonical:llps:LLPS-ES-US-HOME-2023,ADMIT,A_DIRECT_TYPED_PERSON,canonical:pop:dcc30527548d032f43f70bb3,legacy_canonical_population,pop:dcc30527548d032f43f70bb3,language_population_or_context,8fc7fb9294a38b08abd1fc03208260f56764a97281aeaa5af16f920571057370,5e59915f8d30ff54994fbc086609f934e2ffb0b282e88fc9ae19a40485f99a1a,a6ada7d1ab9d193c873cacb34c1cb4e4d7a3f38557c957b8f2e8eee054a3f475,E1B26EEDBADB72EE6625CA5C1F9B2EE51447E3D8B652B0974FD7F2E8D74DF6E8,true,false,POINT,43369734,43369734,43369734,43369734,43369734,true,false
edition-target:lang:gu-Gujr-IN,Gujarati,gu-Gujr-IN,55036204.000000,55036204.000000,2752672.839764,37975843.399764,1,55,POSSIBLE,DEFINITE,DIRECT_OR_DERIVED_PERSON_MEASURE,person_need,L-ID_PARTIAL_IDENTIFICATION_ENVELOPE,auth:canonical:canonical:pop:5d18e76493b2bae5aacee1a7,auth:canonical:canonical:pop:5d18e76493b2bae5aacee1a7,ADMIT,A_DIRECT_TYPED_PERSON,canonical:pop:5d18e76493b2bae5aacee1a7,legacy_canonical_population,pop:5d18e76493b2bae5aacee1a7,language_population_or_context,b80d03e4b52b30b7555fceca6f272c83da97dc4ce85ef7b15a222be464906411,428805d0911da97d3bd7bbc3f4a146366a496885c92808df0a323099ff83e285,b7bc801ff98bb2e801c0d2edb73431e47899ad75e269910e4595524bda33c2b4,EC2BDF734B61061AABB368111F19C6FD09AB026FE6C42FB466BEF1DA45D722C6,true,false,POINT,55036204,55036204,55036204,55036204,55036204,true,false
edition-target:lang:hi-Deva-IN,Hindi,hi-Deva-IN,322230097.000000,322230097.000000,16116555.498023,222343817.578023,1,31,POSSIBLE,DEFINITE,DIRECT_OR_DERIVED_PERSON_MEASURE,person_need,L-ID_PARTIAL_IDENTIFICATION_ENVELOPE,auth:canonical:canonical:pop:d5906c79415770327e34d6e3,auth:canonical:canonical:pop:d5906c79415770327e34d6e3;auth:canonical:llps:LLPS-HI-IN-L1-2011,ADMIT,A_DIRECT_TYPED_PERSON,canonical:pop:d5906c79415770327e34d6e3,legacy_canonical_population,pop:d5906c79415770327e34d6e3,language_population_or_context,1ecc2f752bae0a17067a9cd6cf4b6d8704c524a794291263d5e01cbe64e73856,2a1745949b69276ced5ec0a321ea6ae36104a276f20a0d107935493b1d9dc0c5,804172a5bbde96740a74a5a84f06f8ce79950cb077838fd2021dbcc86d31be75,EC2BDF734B61061AABB368111F19C6FD09AB026FE6C42FB466BEF1DA45D722C6,true,false,POINT,322230097,322230097,322230097,322230097,322230097,true,false
edition-target:lang:id-Latn-ID,Bahasa Indonesia,id-Latn-ID,248501794.000000,248501794.000000,9752346.734257,168793494.894257,1,39,POSSIBLE,DEFINITE,DIRECT_OR_DERIVED_PERSON_MEASURE,person_need,L-ID_PARTIAL_IDENTIFICATION_ENVELOPE,auth:canonical:canonical:pop:4291438f9dc0e89a2c84c958,auth:canonical:canonical:pop:39de2462a63d58bf0aa760b4;auth:canonical:canonical:pop:4291438f9dc0e89a2c84c958;auth:canonical:canonical:pop:d3d3e4eb548b08cae47f514f;auth:canonical:llps:LLPS-ID-ID-ABILITY-2022;auth:canonical:llps:LLPS-ID-ID-HOME-2010,ADMIT,A_DIRECT_TYPED_PERSON,canonical:pop:4291438f9dc0e89a2c84c958,legacy_canonical_population,pop:4291438f9dc0e89a2c84c958,language_population_or_context,5c96ef25091ed52e18c4832379722db06e41de8a113bb546c85e8cb5ad8e77c3,202f2f7f6b44f5078c4343984b01657835d56fafe57ccdb778cc4c852299f0e4,ee995dfb7e1b21f4c251fa784e734fead62357cc10622bdf6c1593d2d73bbe73,8FE2C78241829A7059F6E3143F14F2064598D74B3F514F916CB6ABE4A20B8E8D,true,false,POINT,,248501794,,248501794,248501794,true,false
edition-target:lang:ig-Latn-NG,Igbo,ig-Latn-NG,23000000.000000,27000000.000000,2120752.532551,19769579.059951,1,61,POSSIBLE,DEFINITE,DIRECT_OR_DERIVED_PERSON_MEASURE,person_need,L-ID_PARTIAL_IDENTIFICATION_ENVELOPE,auth:canonical:canonical:pop:1890df4e838ba013835e1dac,auth:canonical:canonical:pop:1890df4e838ba013835e1dac,ADMIT,B_INTERVAL_TYPED_PERSON,canonical:pop:1890df4e838ba013835e1dac,legacy_canonical_population,pop:1890df4e838ba013835e1dac,language_population_or_context,6a040bdd0a632a256b145837ee084cb95ba993e2a7689532d28528afe1865dfe,985b0784e38c96da72649f1ce05c9dd65a08be23905722b52c36dd9a0d9d0562,c54c0094f1606486589589430a7889d8ccb7902835afa6efb9d3b4d62cabd185,8DD1B4D773DC1FA0F684C7E97C31594EE1248114565A58ACFEA5E227E1127FA0,true,false,INTERVAL,23000000,25000000,27000000,23000000,27000000,true,false
edition-target:lang:jv-Latn-ID,Javanese,jv-Latn-ID,68044660.000000,68044660.000000,2670383.609925,46218966.009925,1,55,POSSIBLE,DEFINITE,DIRECT_OR_DERIVED_PERSON_MEASURE,person_need,L-ID_PARTIAL_IDENTIFICATION_ENVELOPE,auth:canonical:canonical:pop:8769a570123aa3d669d927d9,auth:canonical:canonical:pop:8769a570123aa3d669d927d9;auth:canonical:canonical:pop:c8a807b2f8dcd796e65bffee,ADMIT,A_DIRECT_TYPED_PERSON,canonical:pop:8769a570123aa3d669d927d9,legacy_canonical_population,pop:8769a570123aa3d669d927d9,language_population_or_context,be1426172e7859a195a80ef9e59c177cbb81fd38a522ef5873c5e71b1b4e3400,1559c353f277fb9296582229164855feb32a500109a30909f23c592bfc0a2a6a,34eb2d28eec5c846dfb2548c3b790408fd0abe01c6af11843613866acd20b2bb,BA4C458CAE82756BFAF70AFD6C876D1784ED322C00656E26ED8C65F4D5A8A643,true,false,POINT,68044660,68044660,68044660,68044660,68044660,true,false
