edition_target_id,label,language_tag,population_low,population_high,intrinsic_need_low,intrinsic_need_high,possible_rank_best,possible_rank_worst,top10_status,top100_status,population_basis_class,order_lane,model_status,authorization_id,authorization_ids,authorization_status,authorization_tier,evidence_identity_id,source_lane,source_record_id,evidence_role,target_row_sha256,evidence_row_sha256,source_evidence_row_sha256,source_registry_row_hashes,evidence_bounds_source_complete,evidence_bounds_were_imputed,population_bound_type,source_population_low_persons,source_population_base_persons,source_population_high_persons,normalized_population_low_persons,normalized_population_high_persons,local_work_exclusion,synthetic_or_model_prior
edition-target:lang:kn-Knda-IN,Kannada,kn-Knda-IN,43506272.000000,43506272.000000,2175995.519128,30020009.599128,1,61,POSSIBLE,DEFINITE,DIRECT_OR_DERIVED_PERSON_MEASURE,person_need,L-ID_PARTIAL_IDENTIFICATION_ENVELOPE,auth:canonical:canonical:pop:a15c6e4ee31082c4afde22dc,auth:canonical:canonical:pop:a15c6e4ee31082c4afde22dc,ADMIT,A_DIRECT_TYPED_PERSON,canonical:pop:a15c6e4ee31082c4afde22dc,legacy_canonical_population,pop:a15c6e4ee31082c4afde22dc,language_population_or_context,d21af961503e205a03aae9f7a677fbeda0fc71a92204cc7286879f27c81dec16,e2d0017c2740e597398620710189100a7157a18b111dc08c6a5e508d65273867,6ab421e8cf73e19cec2123746a5cee226ac08c78d5e65d36d3bfdb54535959c4,EC2BDF734B61061AABB368111F19C6FD09AB026FE6C42FB466BEF1DA45D722C6,true,false,POINT,43506272,43506272,43506272,43506272,43506272,true,false
edition-target:lang:mg-Latn-MG,Standard,mg-Latn-MG,23472708.000000,23496217.000000,4377660.042000,19419623.350500,1,50,POSSIBLE,DEFINITE,DIRECT_OR_DERIVED_PERSON_MEASURE,person_need,L-ID_PARTIAL_IDENTIFICATION_ENVELOPE,auth:regional:AFRICA_EMPIRICAL_NEED_INPUTS:mg-Latn-MG,auth:regional:AFRICA_EMPIRICAL_NEED_INPUTS:mg-Latn-MG,ADMIT,B_REGIONAL_INTERVAL_TYPED_PERSON,regional:AFRICA_EMPIRICAL_NEED_INPUTS:mg-Latn-MG,AFRICA_EMPIRICAL_NEED_INPUTS,mg-Latn-MG,REGIONAL_EMPIRICAL_STRATUM,19c54e61424cb74074dd2f2b252197360087bcdca7fa38336add756143ad9aaf,f182e03258840471738280ec91d0c3b04565db56e8c753b92609f0fe3931275a,9872b277c1899cb84565b4284a6608212d08aeb0b25ac6bd887acfe533d9ea07,66e50d218225c889afb6f5219a6115b599fc0c65c3fed4673ede50fd1f6c0bc4;1b735ca1d8352a60af648c25c61f408285dfd6ceaae812630db699934b259cec;c0123333fb2b02182261303a67a2dfb8c29efcb7f99032780225c38d0e91e8ef;db887986d0a6d8e762a4859fa7b148ba6ba6e43a7f2647e3a95cabe2188bf1ff;9c33353549fc27a2ca2324fce4a756d339919d730256dd89c7f5b4e7448cf9f0;a4cece4af9a4faeed12675aea814c27c361ae700e854fbb0b716f58b6b5542d6;ce9ed3e99ff8beae8c3ba2cd7069cd3b48397588bf3c0dc755bc3c53b0a943ef;f08a8440b3bcbcc5182faa1cd33b606ff6fe4f68195e2e63badddb3f2b1fd8a4;1116171463655f3000daa67696b5fdad231077d53124aeec2023087d759613f3;1f5f1cfe3b410860ae46e0ad9ba9d5494397fa456f69b516caeeffcde0c4392e,true,false,INTERVAL,23472708,23484462,23496217,23472708,23496217,true,false
edition-target:lang:ml-Mlym-IN,Malayalam,ml-Mlym-IN,34776533.000000,34776533.000000,1739371.738833,23996352.858833,1,63,POSSIBLE,DEFINITE,DIRECT_OR_DERIVED_PERSON_MEASURE,person_need,L-ID_PARTIAL_IDENTIFICATION_ENVELOPE,auth:canonical:canonical:pop:b8c01a4124e6739102ae7d98,auth:canonical:canonical:pop:b8c01a4124e6739102ae7d98,ADMIT,A_DIRECT_TYPED_PERSON,canonical:pop:b8c01a4124e6739102ae7d98,legacy_canonical_population,pop:b8c01a4124e6739102ae7d98,language_population_or_context,32bf9843290d5ec13b5554e90a8233f8916cc30192eb0127457e89407a890799,acf4a3e6b48cc1497d2920c863151ccbd60f3fee51e02813217cf32bb3bc3908,eeb8da833301e4b0f8840ec907df8330e037738596120e701c161278feea926e,EC2BDF734B61061AABB368111F19C6FD09AB026FE6C42FB466BEF1DA45D722C6,true,false,POINT,34776533,34776533,34776533,34776533,34776533,true,false
edition-target:lang:mr-Deva-IN,Marathi,mr-Deva-IN,82801140.000000,82801140.000000,4141354.828533,57134084.428533,1,50,POSSIBLE,DEFINITE,DIRECT_OR_DERIVED_PERSON_MEASURE,person_need,L-ID_PARTIAL_IDENTIFICATION_ENVELOPE,auth:canonical:canonical:pop:78fb5d4ae3e4f19bf50a1c9d,auth:canonical:canonical:pop:78fb5d4ae3e4f19bf50a1c9d;auth:canonical:llps:LLPS-MR-IN-L1-2011,ADMIT,A_DIRECT_TYPED_PERSON,canonical:pop:78fb5d4ae3e4f19bf50a1c9d,legacy_canonical_population,pop:78fb5d4ae3e4f19bf50a1c9d,language_population_or_context,a41ed5a1b774bd490f52e9e29eb8028cc15e51108767c3b030d24a1433833712,390ac37c80b2c0978a35a994340fc27b8d0e02b16def62385107977b96b9bc92,dee63af54b67512c8159982dfcba337fe6bb07e9975f08eb0efd9b69c04d0040,EC2BDF734B61061AABB368111F19C6FD09AB026FE6C42FB466BEF1DA45D722C6,true,false,POINT,82801140,82801140,82801140,82801140,82801140,true,false
edition-target:lang:my-Mymr-MM,Burmese,my-Mymr-MM,36000000.000000,41000000.000000,4405432.633005,31257298.276478,1,50,POSSIBLE,DEFINITE,DIRECT_OR_DERIVED_PERSON_MEASURE,person_need,L-ID_PARTIAL_IDENTIFICATION_ENVELOPE,auth:canonical:canonical:pop:e5ce23e04310977f9e30a710,auth:canonical:canonical:pop:e5ce23e04310977f9e30a710,ADMIT,B_INTERVAL_TYPED_PERSON,canonical:pop:e5ce23e04310977f9e30a710,legacy_canonical_population,pop:e5ce23e04310977f9e30a710,language_population_or_context,6395a03c70518ebe0aa200a16907e2f077ce920e0009c1032bb3c85fc73f9198,fa353d39c17c9e215a7a2e870a0769b831d495f5ad38df9f22461e8a98235dc6,4d75073b2bd2eb5901eba017f50dfd2577f16de147e7a74e1b2442eef470a930,5D2346ED8222CE4D7AA7D9E5106138497E3645A5DA7DA6A682322BB6A41B67D3,true,false,INTERVAL,36000000,,41000000,36000000,41000000,true,false
edition-target:lang:om-Latn-ET,Oromo,om-Latn-ET,24930424.000000,24930424.000000,4637467.015216,20592938.375216,1,50,POSSIBLE,DEFINITE,DIRECT_OR_DERIVED_PERSON_MEASURE,person_need,L-ID_PARTIAL_IDENTIFICATION_ENVELOPE,auth:regional:AFRICA_EMPIRICAL_NEED_INPUTS:om-Latn-ET-Qubee,auth:regional:AFRICA_EMPIRICAL_NEED_INPUTS:om-Latn-ET-Qubee,ADMIT,A_REGIONAL_EXACT_TYPED_PERSON,regional:AFRICA_EMPIRICAL_NEED_INPUTS:om-Latn-ET-Qubee,AFRICA_EMPIRICAL_NEED_INPUTS,om-Latn-ET-Qubee,REGIONAL_EMPIRICAL_STRATUM,a954f70cb5bf34efb26c3e02992190a9e0847c0a3e32ef0aa516dd123ed98b30,d5721f49334f18a750a0d203157a247065bf1d29a1a799be1cb7435743006d16,18d89b3a0d30a5f726a1be1ef464009561b2ee8adada4da55c2fe1808a4b1913,fce6afecd896e8cf08d2cff807dd900a46d27bdb0eacc06b1cedb1ae1c09c46a;fc45a53902b1372dbf4db1196e8284205586e09a1dc0437dc0ccf6a3018763e8;9d96f04b2f0c30df9305b8ab607d11d34d25767cd9378948818ca8340ff09fba;6dc0c8d6289e5cad740dffaef05ea881ea64b5d2f9e1d471714a817dbe28b7d4;9c33353549fc27a2ca2324fce4a756d339919d730256dd89c7f5b4e7448cf9f0;a4cece4af9a4faeed12675aea814c27c361ae700e854fbb0b716f58b6b5542d6;ce9ed3e99ff8beae8c3ba2cd7069cd3b48397588bf3c0dc755bc3c53b0a943ef;f08a8440b3bcbcc5182faa1cd33b606ff6fe4f68195e2e63badddb3f2b1fd8a4;1116171463655f3000daa67696b5fdad231077d53124aeec2023087d759613f3;1f5f1cfe3b410860ae46e0ad9ba9d5494397fa456f69b516caeeffcde0c4392e,true,false,POINT,,24930424,,24930424,24930424,true,false
edition-target:lang:or-Orya-IN,Odia,or-Orya-IN,34059266.000000,34059266.000000,1703497.146360,23501427.386360,1,63,POSSIBLE,DEFINITE,DIRECT_OR_DERIVED_PERSON_MEASURE,person_need,L-ID_PARTIAL_IDENTIFICATION_ENVELOPE,auth:canonical:canonical:pop:db9a140a68322945679808d3,auth:canonical:canonical:pop:db9a140a68322945679808d3,ADMIT,A_DIRECT_TYPED_PERSON,canonical:pop:db9a140a68322945679808d3,legacy_canonical_population,pop:db9a140a68322945679808d3,language_population_or_context,26e18d0da5ca6da271d29d2e0b0379b094a4b22fb454163eaf7f9323fbe44d2b,d447af78d5f9f5ac438063b5c4905da9f2444cf42094e1e8c5906539b3a91e5f,12c1288c1f50eefa8103c2b83935b98599b92bde232ba085d51b0721e1adb5d0,EC2BDF734B61061AABB368111F19C6FD09AB026FE6C42FB466BEF1DA45D722C6,true,false,POINT,34059266,34059266,34059266,34059266,34059266,true,false
edition-target:lang:pa-Guru-IN,Eastern Punjabi,pa-Guru-IN,31144095.000000,31144095.000000,1557692.903848,21489913.703848,1,63,POSSIBLE,DEFINITE,DIRECT_OR_DERIVED_PERSON_MEASURE,person_need,L-ID_PARTIAL_IDENTIFICATION_ENVELOPE,auth:canonical:canonical:pop:cfd49ccfa509189ed47f4dee,auth:canonical:canonical:pop:cfd49ccfa509189ed47f4dee,ADMIT,A_DIRECT_TYPED_PERSON,canonical:pop:cfd49ccfa509189ed47f4dee,legacy_canonical_population,pop:cfd49ccfa509189ed47f4dee,language_population_or_context,8cd7986be190f70d32a9eb619e71bb602d0c304491712338a22760396c3ee41f,57a7d83e597cbb40daec393332f1f27d68c6a084e809b32e9e6432dd789daa6c,9f2d18396007ab5522d64e1c18dbbd4ff443fc779d7005f4cdb63e99ae15e438,EC2BDF734B61061AABB368111F19C6FD09AB026FE6C42FB466BEF1DA45D722C6,true,false,POINT,31144095,31144095,31144095,31144095,31144095,true,false
edition-target:lang:pnb-Arab-PK,Punjabi (Pakistan standard),pnb-Arab-PK,88915544.000000,88915544.000000,10211558.583216,67117506.743216,1,38,POSSIBLE,DEFINITE,DIRECT_OR_DERIVED_PERSON_MEASURE,person_need,L-ID_PARTIAL_IDENTIFICATION_ENVELOPE,auth:canonical:canonical:pop:2a74f45f01adcf93b5498742,auth:canonical:canonical:pop:2a74f45f01adcf93b5498742,ADMIT,A_DIRECT_TYPED_PERSON,canonical:pop:2a74f45f01adcf93b5498742,legacy_canonical_population,pop:2a74f45f01adcf93b5498742,language_population_or_context,42ebc10da00e4fc6bff1dcb57bb8bc43dba1086f01613d6819bc4e3b7766d7a8,3c5daa383d26bae40fd0ba293d770a4d46fd917e27887e70d375380b40d0bdbd,a25c827918592e7061402df3189f9e64a696947f28817e73b47970d5bf276cb0,46E5208B2751BDEDEE81738BE17280322692B36E1F7C573A7C277774F7F8F5B0,true,false,POINT,88915544,88915544,88915544,88915544,88915544,true,false
edition-target:lang:ps-Arab-PK,Pashto (Pakistan curriculum pack),ps-Arab-PK,43633946.000000,43633946.000000,5482413.121004,33408138.561004,1,44,POSSIBLE,DEFINITE,DIRECT_OR_DERIVED_PERSON_MEASURE,person_need,L-ID_PARTIAL_IDENTIFICATION_ENVELOPE,auth:canonical:canonical:pop:f13a1e88b606ae7fd303c7c9,auth:canonical:canonical:pop:f13a1e88b606ae7fd303c7c9,ADMIT,A_DIRECT_TYPED_PERSON,canonical:pop:f13a1e88b606ae7fd303c7c9,legacy_canonical_population,pop:f13a1e88b606ae7fd303c7c9,language_population_or_context,f21d94974cf4a9844247db4b54a499887ae97835e5ae34ec0639400417fefb7f,8cc69efd48e6eacdfd727eceea127f017d99870a199e3bd17c3999997a13f152,90109f614105addb16c92efc6d06a86ec118bcb16edb76e88c70d7c65de5da85,46E5208B2751BDEDEE81738BE17280322692B36E1F7C573A7C277774F7F8F5B0,true,false,POINT,43633946,43633946,43633946,43633946,43633946,true,false
edition-target:lang:ru-Cyrl-RU,Russian — Russian Federation,ru-Cyrl-RU,134319233.000000,134319233.000000,3163249.001013,89127558.121013,1,53,POSSIBLE,DEFINITE,DIRECT_OR_DERIVED_PERSON_MEASURE,person_need,L-ID_PARTIAL_IDENTIFICATION_ENVELOPE,auth:regional:ASIA_EMPIRICAL_NEED_INPUTS:ru-Cyrl-RU-ability,auth:regional:ASIA_EMPIRICAL_NEED_INPUTS:ru-Cyrl-RU-ability;auth:regional:ASIA_EMPIRICAL_NEED_INPUTS:ru-Cyrl-RU-daily,ADMIT,A_REGIONAL_EXACT_TYPED_PERSON,regional:ASIA_EMPIRICAL_NEED_INPUTS:ru-Cyrl-RU-ability,ASIA_EMPIRICAL_NEED_INPUTS,ru-Cyrl-RU-ability,REGIONAL_EMPIRICAL_STRATUM,b25721edd209b914a7e91ff08f3391cc2670dd62932e39d1a62ef036334c2f06,85bdd05ab22e44bb6659b1eb35c92483dfea7772385796f99fbad7bdceec3bce,7cca906069d46d139b3f46ab733c131ba1604b398b86a727614c2e32f8acef58,b4df9ebe84155057ed355113bd548ad58bd65d83b8d2efeb8982ea5ff7ebd746;d956f09bba0a9a13d57398396d7cc5bc4c06cdd93120ab0401ce78da55cf4259,true,false,POINT,,134319233,,134319233,134319233,true,false
edition-target:lang:sd-Arab-PK,Sindhi (Pakistan standard),sd-Arab-PK,34401564.000000,34401564.000000,4322404.988462,26339405.948462,1,50,POSSIBLE,DEFINITE,DIRECT_OR_DERIVED_PERSON_MEASURE,person_need,L-ID_PARTIAL_IDENTIFICATION_ENVELOPE,auth:canonical:canonical:pop:51abe077d0139899162234df,auth:canonical:canonical:pop:51abe077d0139899162234df,ADMIT,A_DIRECT_TYPED_PERSON,canonical:pop:51abe077d0139899162234df,legacy_canonical_population,pop:51abe077d0139899162234df,language_population_or_context,abc5cbf7c6867f58fd722a879403b11efbf81c1d1a7b6ff02477a36bfd383d4b,579f17354e406afb343a3c9222b78c4216afbe0645708b3dbf454f1e5b2c4d56,fbc8572da8c2af3573997b31024aaae206e8651d413723e328a87b85b4a6202c,46E5208B2751BDEDEE81738BE17280322692B36E1F7C573A7C277774F7F8F5B0,true,false,POINT,34401564,34401564,34401564,34401564,34401564,true,false
edition-target:lang:skr-Arab-PK,Saraiki,skr-Arab-PK,28849579.000000,28849579.000000,3313247.074771,21776977.634771,1,53,POSSIBLE,DEFINITE,DIRECT_OR_DERIVED_PERSON_MEASURE,person_need,L-ID_PARTIAL_IDENTIFICATION_ENVELOPE,auth:canonical:canonical:pop:7e60a110e78e419e9a877fc1,auth:canonical:canonical:pop:7e60a110e78e419e9a877fc1,ADMIT,A_DIRECT_TYPED_PERSON,canonical:pop:7e60a110e78e419e9a877fc1,legacy_canonical_population,pop:7e60a110e78e419e9a877fc1,language_population_or_context,eddf3dabec981acdcc83110d6035c5bc3d3e948698bf8805957566234ced24f9,f5a6310c51854e868812abfc7141a476e3ffa7d4b2d6e08664d3b06c8d2c3efa,dead99dcf91eeb5e7b65e708ad26980e8b64a88d18d2d3e02dce9d2d12837579,46E5208B2751BDEDEE81738BE17280322692B36E1F7C573A7C277774F7F8F5B0,true,false,POINT,28849579,28849579,28849579,28849579,28849579,true,false
