decision_rank,group_key,representative_label,representative_language_tag,representative_edition_target_id,member_count,member_edition_target_ids,member_labels,population_basis_classes,group_need_p05_min,group_need_median_max_nonadditive,group_need_p95_max,aggregation_rule,model_status
11,language:bho,Bhojpuri,bho-Deva-IN,edition-target:lang:bho-Deva-IN,2,edition-target:lang:bho-Deva-IN;edition-target:lang:bho-Deva-NP,Bhojpuri || Bhojpuri (Nepal),DIRECT_OR_DERIVED_PERSON_MEASURE,547816.777398,18937757.126398,24080980.963179,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
12,language:ur,Urdu,ur-Arab-IN,edition-target:lang:ur-Arab-IN,2,edition-target:lang:ur-Arab-IN;edition-target:lang:ur-Arab-PK,Urdu,DIRECT_OR_DERIVED_PERSON_MEASURE,7446943.312172,18746774.420556,24765339.535652,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
13,language:my,Burmese,my-Mymr-MM,edition-target:lang:my-Mymr-MM,1,edition-target:lang:my-Mymr-MM,Burmese,DIRECT_OR_DERIVED_PERSON_MEASURE,12753893.986322,17171728.631663,21315966.849777,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
14,language:kn,Kannada,kn-Knda-IN,edition-target:lang:kn-Knda-IN,1,edition-target:lang:kn-Knda-IN,Kannada,DIRECT_OR_DERIVED_PERSON_MEASURE,11464689.335782,16061994.344204,20749021.446765,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
15,language:sd,Sindhi (Pakistan standard),sd-Arab-PK,edition-target:lang:sd-Arab-PK,1,edition-target:lang:sd-Arab-PK,Sindhi (Pakistan standard),DIRECT_OR_DERIVED_PERSON_MEASURE,11705173.252643,15421635.131045,19450278.977264,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
16,language:uz,Uzbek,uz-Latn-UZ,edition-target:lang:uz-Latn-UZ,1,edition-target:lang:uz-Latn-UZ,Uzbek,DIRECT_OR_DERIVED_PERSON_MEASURE,11676004.613969,15343180.815691,19251076.295546,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
17,language:ary,Moroccan Arabic,ary-Arab-MA,edition-target:lang:ary-Arab-MA,1,edition-target:lang:ary-Arab-MA,Moroccan Arabic,DIRECT_OR_DERIVED_PERSON_MEASURE,10956042.999850,14878712.306381,18320917.864633,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
18,language:es,Spanish,es-Latn-US,edition-target:lang:es-Latn-US,1,edition-target:lang:es-Latn-US,Spanish,DIRECT_OR_DERIVED_PERSON_MEASURE,9638981.172544,13908335.681905,18136948.019160,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
19,language:ml,Malayalam,ml-Mlym-IN,edition-target:lang:ml-Mlym-IN,1,edition-target:lang:ml-Mlym-IN,Malayalam,DIRECT_OR_DERIVED_PERSON_MEASURE,9308337.715670,13036702.512464,16739911.437344,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
20,language:skr,Saraiki,skr-Arab-PK,edition-target:lang:skr-Arab-PK,1,edition-target:lang:skr-Arab-PK,Saraiki,DIRECT_OR_DERIVED_PERSON_MEASURE,9799162.292851,12849257.894271,15798498.572363,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
21,language:or,Odia,or-Orya-IN,edition-target:lang:or-Orya-IN,1,edition-target:lang:or-Orya-IN,Odia,DIRECT_OR_DERIVED_PERSON_MEASURE,8745799.928310,12732594.771120,17017212.732648,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
22,language:om,Afaan Oromo Qubee — Ethiopia,om-Latn-ET-Qubee,edition-target:regional:om-Latn-ET-Qubee,1,edition-target:regional:om-Latn-ET-Qubee,Afaan Oromo Qubee — Ethiopia,DIRECT_OR_DERIVED_PERSON_MEASURE,9982392.908597,12630253.754127,15360741.556269,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
23,language:yo,Standard Yoruba,yo-Latn-NG,edition-target:lang:yo-Latn-NG,1,edition-target:lang:yo-Latn-NG,Standard Yoruba,DIRECT_OR_DERIVED_PERSON_MEASURE,9360963.501693,12548589.435452,15593978.059895,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
24,language:su,Sundanese,su-Latn-ID,edition-target:lang:su-Latn-ID,1,edition-target:lang:su-Latn-ID,Sundanese,DIRECT_OR_DERIVED_PERSON_MEASURE,8431802.603696,11691958.876768,15565033.669515,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
25,language:pa,Eastern Punjabi,pa-Guru-IN,edition-target:lang:pa-Guru-IN,1,edition-target:lang:pa-Guru-IN,Eastern Punjabi,DIRECT_OR_DERIVED_PERSON_MEASURE,7669815.929524,11321066.874309,14801638.259787,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
26,language:ig,Igbo,ig-Latn-NG,edition-target:lang:ig-Latn-NG,1,edition-target:lang:ig-Latn-NG,Igbo,DIRECT_OR_DERIVED_PERSON_MEASURE,7395232.420015,10300842.107648,13326126.918549,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
27,language:km,Khmer,km-Khmr-KH,edition-target:lang:km-Khmr-KH,1,edition-target:lang:km-Khmr-KH,Khmer,DIRECT_OR_DERIVED_PERSON_MEASURE,4830847.760082,6425051.220158,8212070.245942,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
28,language:hne,Chhattisgarhi,hne-Deva-IN,edition-target:lang:hne-Deva-IN,1,edition-target:lang:hne-Deva-IN,Chhattisgarhi,DIRECT_OR_DERIVED_PERSON_MEASURE,4379707.255067,6149263.874216,7805702.533786,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
29,language:ne,Nepali (Nepal standard),ne-Deva-NP,edition-target:lang:ne-Deva-NP,2,edition-target:lang:ne-Deva-IN;edition-target:lang:ne-Deva-NP,Nepali (India jurisdiction pack) || Nepali (Nepal standard),DIRECT_OR_DERIVED_PERSON_MEASURE,768738.532196,5609219.360985,7155344.920530,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
30,language:as,Assamese,as-Beng-IN,edition-target:lang:as-Beng-IN,1,edition-target:lang:as-Beng-IN,Assamese,DIRECT_OR_DERIVED_PERSON_MEASURE,3949205.194388,5547295.167905,7113550.592607,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
31,language:mai,Maithili (India),mai-Deva-IN,edition-target:lang:mai-Deva-IN,2,edition-target:lang:mai-Deva-IN;edition-target:lang:mai-Deva-NP,Maithili (India) || Maithili (Nepal),DIRECT_OR_DERIVED_PERSON_MEASURE,980671.547235,4959628.354614,6278214.597699,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
32,language:mag,Magahi,mag-Deva-IN,edition-target:lang:mag-Deva-IN,2,edition-target:lang:mag-Deva-IN;edition-target:lang:mag-Deva-NP,Magahi,DIRECT_OR_DERIVED_PERSON_MEASURE,70866.935781,4708245.092111,5949806.398611,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
33,language:ca,Catalan,ca-Latn-ES,edition-target:lang:ca-Latn-ES,1,edition-target:lang:ca-Latn-ES,Catalan,DIRECT_OR_DERIVED_PERSON_MEASURE,3059429.945319,4307845.325594,5494017.299797,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
34,language:mwr,Marwari,mwr-Deva-IN,edition-target:lang:mwr-Deva-IN,1,edition-target:lang:mwr-Deva-IN,Marwari,DIRECT_OR_DERIVED_PERSON_MEASURE,2205799.353528,2977337.678668,3895955.794880,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
35,language:mad,Madurese,mad-Latn-ID,edition-target:lang:mad-Latn-ID,1,edition-target:lang:mad-Latn-ID,Madurese,DIRECT_OR_DERIVED_PERSON_MEASURE,1959959.978501,2820241.409441,3608224.866042,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
36,language:yue,Cantonese (Yue),yue-Hant-HK,edition-target:lang:yue-Hant-HK,1,edition-target:lang:yue-Hant-HK,Cantonese (Yue),DIRECT_OR_DERIVED_PERSON_MEASURE,1995185.608642,2748977.331966,3464894.254431,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
37,language:tk,Turkmen,tk-Latn-TM,edition-target:lang:tk-Latn-TM,1,edition-target:lang:tk-Latn-TM,Turkmen,DIRECT_OR_DERIVED_PERSON_MEASURE,1848584.555786,2657005.021712,3457444.187175,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
38,language:gug,Paraguayan Guarani,gug-Latn-PY,edition-target:lang:gug-Latn-PY,1,edition-target:lang:gug-Latn-PY,Paraguayan Guarani,DIRECT_OR_DERIVED_PERSON_MEASURE,1216315.321516,1629361.582593,2091593.566694,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
39,language:min,Minangkabau,min-Latn-ID,edition-target:lang:min-Latn-ID,1,edition-target:lang:min-Latn-ID,Minangkabau,DIRECT_OR_DERIVED_PERSON_MEASURE,1143934.015961,1537982.964130,1981023.459490,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
40,language:awa,Awadhi (India),awa-Deva-IN,edition-target:lang:awa-Deva-IN,2,edition-target:lang:awa-Deva-IN;edition-target:lang:awa-Deva-NP,Awadhi (India) || Awadhi (Nepal),DIRECT_OR_DERIVED_PERSON_MEASURE,285987.541493,1438773.808304,1825320.411011,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
41,language:bjn,Banjarese,bjn-Latn-ID,edition-target:lang:bjn-Latn-ID,1,edition-target:lang:bjn-Latn-ID,Banjarese,DIRECT_OR_DERIVED_PERSON_MEASURE,954749.617631,1308737.488483,1771115.465206,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
42,language:bug,Buginese,bug-Latn-ID,edition-target:lang:bug-Latn-ID,1,edition-target:lang:bug-Latn-ID,Buginese,DIRECT_OR_DERIVED_PERSON_MEASURE,878142.822045,1266450.395197,1669015.151384,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
43,language:brh,Brahvi,brh-Arab-PK,edition-target:lang:brh-Arab-PK,1,edition-target:lang:brh-Arab-PK,Brahvi,DIRECT_OR_DERIVED_PERSON_MEASURE,913783.114129,1198791.628827,1524314.318929,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
44,language:kek,Q'eqchi',kek-Latn-GT,edition-target:lang:kek-Latn-GT,2,edition-target:lang:kek-GT;edition-target:lang:kek-Latn-GT,Q'eqchi' || Q’eqchi’,DIRECT_OR_DERIVED_PERSON_MEASURE,347562.814807,495565.376510,616512.714351,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
45,language:quc,K'iche',quc-Latn-GT,edition-target:lang:quc-Latn-GT,2,edition-target:lang:quc-GT;edition-target:lang:quc-Latn-GT,K'iche' || K’iche’,DIRECT_OR_DERIVED_PERSON_MEASURE,326835.487994,456252.907657,560867.723101,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
46,language:eu,Basque,eu-Latn-ES,edition-target:lang:eu-Latn-ES,1,edition-target:lang:eu-Latn-ES,Basque,DIRECT_OR_DERIVED_PERSON_MEASURE,304659.550569,407029.781816,504208.875856,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
47,language:yua,Maayat’aan,yua-MX,edition-target:lang:yua-MX,1,edition-target:lang:yua-MX,Maayat’aan,DIRECT_OR_DERIVED_PERSON_MEASURE,171142.657632,269576.754125,357372.039743,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
48,language:sn,Shona,sn-Latn-ZA,edition-target:lang:sn-Latn-ZA,1,edition-target:lang:sn-Latn-ZA,Shona,DIRECT_OR_DERIVED_PERSON_MEASURE,188064.317939,264792.983581,346717.286246,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
49,language:mam,Mam,mam-GT,edition-target:lang:mam-GT,1,edition-target:lang:mam-GT,Mam,DIRECT_OR_DERIVED_PERSON_MEASURE,183837.268235,254080.605588,314560.502595,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
50,language:tzh,Tseltal,tzh-MX,edition-target:lang:tzh-MX,1,edition-target:lang:tzh-MX,Tseltal,DIRECT_OR_DERIVED_PERSON_MEASURE,141117.395205,201860.905275,269750.450938,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
51,language:ayr,Bolivian Aymara,ayr-BO,edition-target:lang:ayr-BO,2,edition-target:lang:ayr-BO;edition-target:lang:ayr-PE,Aymara in Peru || Bolivian Aymara,DIRECT_OR_DERIVED_PERSON_MEASURE,136751.659640,197683.852362,248928.296782,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
52,language:tzo,Tsotsil,tzo-MX,edition-target:lang:tzo-MX,1,edition-target:lang:tzo-MX,Tsotsil,DIRECT_OR_DERIVED_PERSON_MEASURE,131425.708979,190213.479012,250350.749487,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
53,language:cak,Kaqchikel,cak-GT,edition-target:lang:cak-GT,1,edition-target:lang:cak-GT,Kaqchikel,DIRECT_OR_DERIVED_PERSON_MEASURE,129278.651494,178545.678136,221814.717921,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
54,language:cy,Welsh,cy-Latn-GB,edition-target:lang:cy-Latn-GB,1,edition-target:lang:cy-Latn-GB,Welsh,DIRECT_OR_DERIVED_PERSON_MEASURE,112928.522444,171737.640196,228169.618017,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
55,language:tet,Tetun Prasa,tet-Latn-TL,edition-target:lang:tet-Latn-TL,1,edition-target:lang:tet-Latn-TL,Tetun Prasa,DIRECT_OR_DERIVED_PERSON_MEASURE,118264.315511,157970.588326,198241.343457,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
56,language:mi,Maori,mi-Latn-NZ,edition-target:lang:mi-Latn-NZ,1,edition-target:lang:mi-Latn-NZ,Maori,DIRECT_OR_DERIVED_PERSON_MEASURE,69084.208341,93581.120772,118652.316758,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
57,language:ctu,Chol,ctu-MX,edition-target:lang:ctu-MX,1,edition-target:lang:ctu-MX,Chol,DIRECT_OR_DERIVED_PERSON_MEASURE,57945.674767,85942.688304,115607.717223,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
58,language:mgm,Mambai,mgm-Latn-TL,edition-target:lang:mgm-Latn-TL,1,edition-target:lang:mgm-Latn-TL,Mambai,DIRECT_OR_DERIVED_PERSON_MEASURE,62390.436681,81855.106138,104668.329488,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
59,language:kjb,Q’anjob’al,kjb-GT,edition-target:lang:kjb-GT,1,edition-target:lang:kjb-GT,Q’anjob’al,DIRECT_OR_DERIVED_PERSON_MEASURE,52130.155720,70939.687218,90109.812312,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
60,language:nah,Mexicano de la Huasteca hidalguense,nah-huasteca-hidalguense-Latn-MX,edition-target:regional:nah-huasteca-hidalguense-Latn-MX,10,edition-target:regional:nah-huasteca-hidalguense-Latn-MX;edition-target:regional:nah-huasteca-potosina-Latn-MX;edition-target:regional:nah-istmo-Latn-MX;edition-target:regional:nah-istmo-bajo-Latn-MX;edition-target:regional:nah-mexicano-guerrero-Latn-MX;edition-target:regional:nah-mexicano-oriente-central-Latn-MX;edition-target:regional:nah-noroeste-central-Latn-MX;edition-target:regional:nah-oaxaca-Latn-MX;edition-target:regional:nah-sierra-noreste-puebla-Latn-MX;edition-target:regional:nah-sierra-oeste-puebla-Latn-MX,Mexicano de Guerrero || Mexicano de la Huasteca hidalguense || Mexicano del oriente central || Náhuatl de Oaxaca || Náhuatl de la Huasteca potosina || Náhuatl de la Sierra noreste de Puebla || Náhuatl de la Sierra oeste de Puebla || Náhuatl del Istmo || Náhuatl del Istmo bajo || Náhuatl del noroeste central,DIRECT_OR_DERIVED_PERSON_MEASURE,1546.848969,69357.620354,88446.717775,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
61,language:poh,Poqomchi’,poh-GT,edition-target:lang:poh-GT,1,edition-target:lang:poh-GT,Poqomchi’,DIRECT_OR_DERIVED_PERSON_MEASURE,41196.765049,56620.328201,71660.420864,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
62,language:mkz,Makasae,mkz-Latn-TL,edition-target:lang:mkz-Latn-TL,1,edition-target:lang:mkz-Latn-TL,Makasae,DIRECT_OR_DERIVED_PERSON_MEASURE,37804.301599,53586.200316,66964.844201,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
63,language:acr,Achi,acr-GT,edition-target:lang:acr-GT,1,edition-target:lang:acr-GT,Achi,DIRECT_OR_DERIVED_PERSON_MEASURE,38665.232307,52960.511395,65820.636411,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
64,language:nav,Diné Bizaad,nav-US,edition-target:lang:nav-US,1,edition-target:lang:nav-US,Diné Bizaad,DIRECT_OR_DERIVED_PERSON_MEASURE,37615.581681,51685.538214,69409.649296,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
65,language:ixl,Ixil,ixl-GT,edition-target:lang:ixl-GT,1,edition-target:lang:ixl-GT,Ixil,DIRECT_OR_DERIVED_PERSON_MEASURE,37738.124328,50775.951843,62494.794175,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
66,language:pis,Solomon Islands Pijin,pis-Latn-SB,edition-target:lang:pis-Latn-SB,1,edition-target:lang:pis-Latn-SB,Solomon Islands Pijin,DIRECT_OR_DERIVED_PERSON_MEASURE,30873.858108,44135.141025,55445.909748,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
67,language:kem,Kemak,kem-Latn-TL,edition-target:lang:kem-Latn-TL,1,edition-target:lang:kem-Latn-TL,Kemak,DIRECT_OR_DERIVED_PERSON_MEASURE,22009.050865,29941.904240,37730.990484,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
68,language:tseltal,Tseltal del norte in Mexico,tseltal-north-Latn-MX,edition-target:regional:tseltal-north-Latn-MX,2,edition-target:regional:tseltal-east-Latn-MX;edition-target:regional:tseltal-north-Latn-MX,Tseltal del norte in Mexico || Tseltal del oriente in Mexico,DIRECT_OR_DERIVED_PERSON_MEASURE,17222.447230,29028.570689,38795.910247,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
69,language:bfn,Bunak,bfn-Latn-TL,edition-target:lang:bfn-Latn-TL,1,edition-target:lang:bfn-Latn-TL,Bunak,DIRECT_OR_DERIVED_PERSON_MEASURE,20431.449376,28349.496626,34950.447799,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
70,language:tsotsil,Tsotsil del norte alto in Mexico,tsotsil-north-high-Latn-MX,edition-target:regional:tsotsil-north-high-Latn-MX,3,edition-target:regional:tsotsil-centre-Latn-MX;edition-target:regional:tsotsil-north-high-Latn-MX;edition-target:regional:tsotsil-northwest-Latn-MX,Tsotsil del centro in Mexico || Tsotsil del noroeste in Mexico || Tsotsil del norte alto in Mexico,DIRECT_OR_DERIVED_PERSON_MEASURE,10180.954870,26535.114332,34660.613741,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
71,language:jiv,Shuar Chicham,jiv-EC,edition-target:lang:jiv-EC,1,edition-target:lang:jiv-EC,Shuar Chicham,DIRECT_OR_DERIVED_PERSON_MEASURE,19475.800003,25162.655530,31995.355331,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
72,language:cac,Chuj,cac-GT,edition-target:lang:cac-GT,1,edition-target:lang:cac-GT,Chuj,DIRECT_OR_DERIVED_PERSON_MEASURE,18421.228309,25090.396666,33109.445832,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
73,language:agr,Awajún,agr-PE,edition-target:lang:agr-PE,1,edition-target:lang:agr-PE,Awajún,DIRECT_OR_DERIVED_PERSON_MEASURE,18151.724167,24741.689637,30595.263020,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
74,language:knj,Akateko,knj-GT,edition-target:lang:knj-GT,1,edition-target:lang:knj-GT,Akateko,DIRECT_OR_DERIVED_PERSON_MEASURE,18677.714963,24190.057492,30668.754399,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
75,language:tkd,Tokodede,tkd-Latn-TL,edition-target:lang:tkd-Latn-TL,1,edition-target:lang:tkd-Latn-TL,Tokodede,DIRECT_OR_DERIVED_PERSON_MEASURE,13843.407285,20096.079454,25277.771512,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
76,language:iku,Inuktitut,iku-CA,edition-target:lang:iku-CA,1,edition-target:lang:iku-CA,Inuktitut,DIRECT_OR_DERIVED_PERSON_MEASURE,13528.920083,17966.504101,22358.604985,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
77,language:tca,Tikúna,tca-BR,edition-target:lang:tca-BR,1,edition-target:lang:tca-BR,Tikúna,DIRECT_OR_DERIVED_PERSON_MEASURE,12253.788908,17698.365967,23319.211150,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
78,language:iu,Inuktitut,iu-Cans-CA,edition-target:lang:iu-Cans-CA,1,edition-target:lang:iu-Cans-CA,Inuktitut,DIRECT_OR_DERIVED_PERSON_MEASURE,13184.948463,17610.242531,23088.780674,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
79,language:shp,Shipibo-Konibo,shp-PE,edition-target:lang:shp-PE,1,edition-target:lang:shp-PE,Shipibo-Konibo,DIRECT_OR_DERIVED_PERSON_MEASURE,10671.242091,14325.169207,18589.112151,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
80,language:jac,Popti’,jac-GT,edition-target:lang:jac-GT,1,edition-target:lang:jac-GT,Popti’,DIRECT_OR_DERIVED_PERSON_MEASURE,10034.909866,14016.711357,17885.811502,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
81,language:kgk,Guarani Kaiowá,kgk-BR,edition-target:lang:kgk-BR,1,edition-target:lang:kgk-BR,Guarani Kaiowá,DIRECT_OR_DERIVED_PERSON_MEASURE,9313.063398,13389.036417,16963.396730,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
82,language:chk,Chuukese,chk-Latn-FM,edition-target:lang:chk-Latn-FM,1,edition-target:lang:chk-Latn-FM,Chuukese,DIRECT_OR_DERIVED_PERSON_MEASURE,8584.187624,12245.194951,15326.141123,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
83,language:nzs,New Zealand Sign Language,nzs-NZ,edition-target:lang:nzs-NZ,1,edition-target:lang:nzs-NZ,New Zealand Sign Language,DIRECT_OR_DERIVED_PERSON_MEASURE,8835.450377,11169.977681,13687.894061,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
84,language:gub,Guajajara,gub-BR,edition-target:lang:gub-BR,1,edition-target:lang:gub-BR,Guajajara,DIRECT_OR_DERIVED_PERSON_MEASURE,7342.109945,9827.387719,13210.548505,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
85,language:kgp,Kaingang,kgp-BR,edition-target:lang:kgp-BR,1,edition-target:lang:kgp-BR,Kaingang,DIRECT_OR_DERIVED_PERSON_MEASURE,6538.918818,9445.138695,12503.158326,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
86,language:ccr,Chalchiteko,ccr-GT,edition-target:lang:ccr-GT,1,edition-target:lang:ccr-GT,Chalchiteko,DIRECT_OR_DERIVED_PERSON_MEASURE,6839.987317,9233.370387,11233.898681,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
87,language:pon,Pohnpeian,pon-Latn-FM,edition-target:lang:pon-Latn-FM,1,edition-target:lang:pon-Latn-FM,Pohnpeian,DIRECT_OR_DERIVED_PERSON_MEASURE,5649.229381,7703.132758,9687.079861,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
