program,order,module_id,source_title,canonical_sha256,indonesian_sha256,canonical_hash_basis,authority_path,canonical_path,indonesian_path,status
A00,1,m81241,Preface,1c7cf6eda8be5021f1f33dc22069f5a3db50d1412a024bb57c7268b25db7f9df,224602a3e0474140b3f79a3ba7c6b3f4b4aa7ee6ca48e7c1630ffa170d17cb3f,pinned_git_blob_matches_authority_bytes,downloads/gu-Gujr-IN/a00-id/provenance/logbook/authority/prealgebra2e/m81241.source.cnxml,downloads/gu-Gujr-IN/openstax-canonical/modules/m81241/index.cnxml,downloads/gu-Gujr-IN/a00-id/modules/m81241/index.cnxml,drafting
A00,2,m81242,Introduction,0d76349dc9a5ac95ce000e86c140ddadc0bebd5b30edeb4e2b1163b02c26fa83,5e48b652f45a3cf822bc46918ebf057dd353f66f74e39e8e6419e648f8633e95,pinned_git_blob_matches_authority_bytes,downloads/gu-Gujr-IN/a00-id/provenance/logbook/authority/prealgebra2e/m81242.source.cnxml,downloads/gu-Gujr-IN/openstax-canonical/modules/m81242/index.cnxml,downloads/gu-Gujr-IN/a00-id/modules/m81242/index.cnxml,drafting
A00,3,m81243,Introduction to Whole Numbers,396b0029798e054e5db6d7acde738cec9f9d8b86bc81da8cc3690d01ec07cf2b,7153ce88bcd4aea07fab4075bdb025884e07d534aafb6d06ff1bfbedbc46f251,pinned_git_blob_matches_authority_bytes,downloads/gu-Gujr-IN/a00-id/provenance/logbook/authority/prealgebra2e/m81243.source.cnxml,downloads/gu-Gujr-IN/openstax-canonical/modules/m81243/index.cnxml,downloads/gu-Gujr-IN/a00-id/modules/m81243/index.cnxml,drafting
A00,4,m81244,Add Whole Numbers,b32058ce714e5fd43b010ccc81b2ae00a11567b229e9f96dda7b85b3cd82ba6b,d23343f302c34436169e88ffdbc4eab37baabf0a3d1134755b2f5676c75e1cc6,pinned_git_blob_matches_authority_bytes,downloads/gu-Gujr-IN/a00-id/provenance/logbook/authority/prealgebra2e/m81244.source.cnxml,downloads/gu-Gujr-IN/openstax-canonical/modules/m81244/index.cnxml,downloads/gu-Gujr-IN/a00-id/modules/m81244/index.cnxml,drafting
A00,5,m81245,Subtract Whole Numbers,02df262b21ee15472223ae863bc5f3bcb3714389a8ef46e66c8b4469c6972841,d6829f9326dfcb9d30e589b2917bbc18ab2c871b0f44b939b1ceeb477ec8fe3f,pinned_git_blob_matches_authority_bytes,downloads/gu-Gujr-IN/a00-id/provenance/logbook/authority/prealgebra2e/m81245.source.cnxml,downloads/gu-Gujr-IN/openstax-canonical/modules/m81245/index.cnxml,downloads/gu-Gujr-IN/a00-id/modules/m81245/index.cnxml,drafting
A00,6,m81255,Multiply Whole Numbers,1717786daf25223f0712f505768442007c15cf449e382d5596414460d26bd4ba,88a4a8f76aa0e59981df68616a8d7602737e6df11f50ee9866efa58e9cd24fa9,pinned_git_blob_matches_authority_bytes,downloads/gu-Gujr-IN/a00-id/provenance/logbook/authority/prealgebra2e/m81255.source.cnxml,downloads/gu-Gujr-IN/openstax-canonical/modules/m81255/index.cnxml,downloads/gu-Gujr-IN/a00-id/modules/m81255/index.cnxml,drafting
A00,7,m81256,Divide Whole Numbers,73e8bf102d72a8c3891b1f9823c015f288ffcd2315cc452e68e4028429e93b40,58f2f783c22743a4872c1939fe048303a7b6c4aa3f4f011c0e165984a5bd48f4,pinned_git_blob_matches_authority_bytes,downloads/gu-Gujr-IN/a00-id/provenance/logbook/authority/prealgebra2e/m81256.source.cnxml,downloads/gu-Gujr-IN/openstax-canonical/modules/m81256/index.cnxml,downloads/gu-Gujr-IN/a00-id/modules/m81256/index.cnxml,drafting
A00,8,m81266,Introduction to the Language of Algebra,3ef40958467c1d82ef6fd51c3f6ea8af9c2c3e2ea61a90ddf22873eaf7099333,80e9e68f2aa4af088aa243a665d86412c8769b304f5833f30534451832038e0c,pinned_git_blob_matches_authority_bytes,downloads/gu-Gujr-IN/a00-id/provenance/logbook/authority/prealgebra2e/m81266.source.cnxml,downloads/gu-Gujr-IN/openstax-canonical/modules/m81266/index.cnxml,downloads/gu-Gujr-IN/a00-id/modules/m81266/index.cnxml,drafting
A00,9,m81268,Use the Language of Algebra,7a46eec9084976ca082e71f10f4cad97f2ba231d7b390e27753a21efb530bf87,6fc5288d96f74128429a8bdcacb4cd94bb1a07182729dc23c30af37204a76222,pinned_git_blob_matches_authority_bytes,downloads/gu-Gujr-IN/a00-id/provenance/logbook/authority/prealgebra2e/m81268.source.cnxml,downloads/gu-Gujr-IN/openstax-canonical/modules/m81268/index.cnxml,downloads/gu-Gujr-IN/a00-id/modules/m81268/index.cnxml,drafting
A00,10,m81270,"Evaluate, Simplify, and Translate Expressions",f48a03a92672e647cfcab21b800ca51d0626c92991a1fd7699fab6b8ab1c9661,61bf2edcf99941f3063e67e0932cdb0b8d6e9e59609f319671b29eeb1b6348a7,pinned_git_blob_matches_authority_bytes,downloads/gu-Gujr-IN/a00-id/provenance/logbook/authority/prealgebra2e/m81270.source.cnxml,downloads/gu-Gujr-IN/openstax-canonical/modules/m81270/index.cnxml,downloads/gu-Gujr-IN/a00-id/modules/m81270/index.cnxml,drafting
A00,11,m81271,Solving Equations Using the Subtraction and Addition Properties of Equality,f74029642f7833d2a8596b2973d8789ae180d238052a0460c6eaa0a83277cde7,1b601606c58abfd0291682b9bb9c51bd671d16b815cbaabcd07cb8a18652c298,pinned_git_blob_matches_authority_bytes,downloads/gu-Gujr-IN/a00-id/provenance/logbook/authority/prealgebra2e/m81271.source.cnxml,downloads/gu-Gujr-IN/openstax-canonical/modules/m81271/index.cnxml,downloads/gu-Gujr-IN/a00-id/modules/m81271/index.cnxml,drafting
A00,12,m81272,Find Multiples and Factors,e547be567190fc22617dda6defdfa2d04349dd86584d890221d2d702aff6f214,e2846b8f98cf8443d80407d0904c608a06f49b5eb9e931891f6b274ca9749998,pinned_git_blob_matches_authority_bytes,downloads/gu-Gujr-IN/a00-id/provenance/logbook/authority/prealgebra2e/m81272.source.cnxml,downloads/gu-Gujr-IN/openstax-canonical/modules/m81272/index.cnxml,downloads/gu-Gujr-IN/a00-id/modules/m81272/index.cnxml,drafting
A00,13,m81273,Prime Factorization and the Least Common Multiple,4da1f4b3fb0d26f4ece7475531f5f6f46ed8c7801fffd605429105a836abd40e,18436f278b56f1f67ece9c00a6d2c0bb5874bc65d89b720876bd59a85f5f844e,pinned_git_blob_matches_authority_bytes,downloads/gu-Gujr-IN/a00-id/provenance/logbook/authority/prealgebra2e/m81273.source.cnxml,downloads/gu-Gujr-IN/openstax-canonical/modules/m81273/index.cnxml,downloads/gu-Gujr-IN/a00-id/modules/m81273/index.cnxml,drafting
A00,14,m81274,Introduction to Integers,098c31928c9718bd11e923247cbb305e02338e1a3772968c7c8524af8faabae4,ce01defcd08178611cf90c45a123260554afa5ced15da3e3dde872a3bf6e1eea,pinned_git_blob_matches_authority_bytes,downloads/gu-Gujr-IN/a00-id/provenance/logbook/authority/prealgebra2e/m81274.source.cnxml,downloads/gu-Gujr-IN/openstax-canonical/modules/m81274/index.cnxml,downloads/gu-Gujr-IN/a00-id/modules/m81274/index.cnxml,drafting
A00,15,m81275,Introduction to Integers,d6b1c30a01c4853ce1ed7b4e642836d9b79e168db973ddc568776cedca9d53ed,524208dc40f8c55060e68e17fbafd0c65a91d04fb39a3585c7a6fce211e4980f,pinned_git_blob_matches_authority_bytes,downloads/gu-Gujr-IN/a00-id/provenance/logbook/authority/prealgebra2e/m81275.source.cnxml,downloads/gu-Gujr-IN/openstax-canonical/modules/m81275/index.cnxml,downloads/gu-Gujr-IN/a00-id/modules/m81275/index.cnxml,drafting
A00,16,m81276,Add Integers,7e60eb505941fae754150df495be0ff7acf303c355eb1e81a8c57d48090e9cef,02458e9aa4c26110220995da7673ca3003b67c3fbedb8d0908857dfa7086186f,pinned_git_blob_matches_authority_bytes,downloads/gu-Gujr-IN/a00-id/provenance/logbook/authority/prealgebra2e/m81276.source.cnxml,downloads/gu-Gujr-IN/openstax-canonical/modules/m81276/index.cnxml,downloads/gu-Gujr-IN/a00-id/modules/m81276/index.cnxml,assigned_not_started
A00,17,m81277,Subtract Integers,b11ddb3b2810002dd83a9e63b79029165d5340f16f46cd7533be98ef6d2f5692,fe81c7e625a0de62e3774b4f7f4c88fb272d3292feaf163c65b649a45d78607f,pinned_git_blob_matches_authority_bytes,downloads/gu-Gujr-IN/a00-id/provenance/logbook/authority/prealgebra2e/m81277.source.cnxml,downloads/gu-Gujr-IN/openstax-canonical/modules/m81277/index.cnxml,downloads/gu-Gujr-IN/a00-id/modules/m81277/index.cnxml,assigned_not_started
A00,18,m81278,Multiply and Divide Integers,20c8d159f8a17ed343dae222474ece5e6fd2c317dcbb1263c80b40eba493b282,0298ecd025911b428d80b15af681239a0df6b055623a803c29ed8b502f921011,pinned_git_blob_matches_authority_bytes,downloads/gu-Gujr-IN/a00-id/provenance/logbook/authority/prealgebra2e/m81278.source.cnxml,downloads/gu-Gujr-IN/openstax-canonical/modules/m81278/index.cnxml,downloads/gu-Gujr-IN/a00-id/modules/m81278/index.cnxml,assigned_not_started
A00,19,m81281,Solve Equations Using Integers; The Division Property of Equality,6cb9352564104175e6adc606e1a39b7a61e1ca08a891680f5c66d79cab2df16e,b7f63a19a4b1f22d3f6d9eaf6ff7e9383d6ea151701ec6a20a88153994e1c36a,pinned_git_blob_matches_authority_bytes,downloads/gu-Gujr-IN/a00-id/provenance/logbook/authority/prealgebra2e/m81281.source.cnxml,downloads/gu-Gujr-IN/openstax-canonical/modules/m81281/index.cnxml,downloads/gu-Gujr-IN/a00-id/modules/m81281/index.cnxml,assigned_not_started
A00,20,m81284,Introduction to Fractions,61467075d7fe6213af1710f6f4a6b685fc4e281430612b007e98fcfb1145c500,a1a060dbac538fd0610144df481b9aa76990f09b42f1ba32a1ca66864fa1f6db,pinned_git_blob_matches_authority_bytes,downloads/gu-Gujr-IN/a00-id/provenance/logbook/authority/prealgebra2e/m81284.source.cnxml,downloads/gu-Gujr-IN/openstax-canonical/modules/m81284/index.cnxml,downloads/gu-Gujr-IN/a00-id/modules/m81284/index.cnxml,assigned_not_started
A00,21,m81285,Visualize Fractions,7a39fccee8a29712929f04a6ac02f4e2646e46a6920f6e8b06f56de40b7ffad4,64171ae1dbff1dfd52cd92233605b5a6b03e82895be5c730228bf7c0a206bce7,pinned_git_blob_matches_authority_bytes,downloads/gu-Gujr-IN/a00-id/provenance/logbook/authority/prealgebra2e/m81285.source.cnxml,downloads/gu-Gujr-IN/openstax-canonical/modules/m81285/index.cnxml,downloads/gu-Gujr-IN/a00-id/modules/m81285/index.cnxml,assigned_not_started
A00,22,m81286,Multiply and Divide Fractions,7dab4be4d267ccd47f23df46e9b6a4b90a25c5d8b371e14b5947846af126b249,1ba6650641f943f7ab69ad28a321d2ce7917a7cbcd14b48422ff259184b50cab,pinned_git_blob_matches_authority_bytes,downloads/gu-Gujr-IN/a00-id/provenance/logbook/authority/prealgebra2e/m81286.source.cnxml,downloads/gu-Gujr-IN/openstax-canonical/modules/m81286/index.cnxml,downloads/gu-Gujr-IN/a00-id/modules/m81286/index.cnxml,assigned_not_started
